Image_id,A1_hair(0-3),A2_hair(0-3),A3_hair(0-3),A4_hair(0-3),A5_hair(0-3),A1_penmarks(0-1),A2_penmarks(0-1),A3_penmarks(0-1),A4_penmarks(0-1),A5_penmarks(0-1),"Comments:  Annotator names:   A1 = Andreea, A2 = Shayan,  A3 = Victoria S, A4 = Victoria K, A5 = Wladimir",Average hair,Average pen marks
PAT_872_1708_841.png,1,1,1,1,0,1,1,1,1,1,,0.8,1
PAT_895_1699_872.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_898_1706_496.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_917_1735_936.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_931_1762_69.png,0,1,1,0,0,1,1,1,1,1,,0.4,1
PAT_935_1781_920.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_959_1813_1000.png,0,0,1,0,0,0,0,0,0,0,,0.2,0
PAT_963_1819_298.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_968_1835_721.png,1,1,1,1,2,0,0,0,0,0,,1.2,0
PAT_971_1847_99.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_976_1837_861.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_980_1849_295.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_995_1867_5.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_996_6_886.png,0,0,0,0,0,0,1,0,1,0,,0,0.4
PAT_1042_187_746.png,2,2,2,2,2,0,0,0,0,0,,2,0
PAT_1102_408_613.png,1,1,0,1,1,1,1,1,1,1,,0.8,1
PAT_1139_523_682.png,3,3,3,3,3,1,1,0,1,1,,3,0.8
PAT_1161_578_233.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1215_752_707.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_1315_1110_317.png,3,3,3,3,2,0,0,0,0,0,,2.8,0
PAT_1324_1145_309.png,3,3,3,3,2,1,1,1,1,1,,2.8,1
PAT_1349_1229_828.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1350_1230_878.png,1,1,1,1,0,1,1,1,1,1,,0.8,1
PAT_1371_1276_145.png,0,0,0,1,0,1,1,1,1,1,,0.2,1
PAT_1393_1356_371.png,0,0,0,1,0,0,0,0,0,0,,0.2,0
PAT_1407_1402_347.png,2,2,2,2,3,0,0,0,0,0,,2.2,0
PAT_1407_1402_500.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_1411_1415_723.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1420_1460_951.png,1,1,1,1,1,0,0,0,0,0,,1,0
PAT_1546_1872_824.png,0,0,0,0,0,1,1,1,1,1,,0,1
PAT_1631_2837_667.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1636_2869_739.png,2,2,2,2,2,0,0,0,0,0,,2,0
PAT_1680_3038_587.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1762_3332_245.png,1,1,1,1,0,1,1,1,1,1,,0.8,1
PAT_1800_3460_206.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_1801_3459_857.png,1,1,1,2,1,0,0,0,0,0,,1.2,0
PAT_1881_3711_217.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_1937_3897_131.png,3,2,3,3,2,1,1,1,1,1,,2.6,1
PAT_1978_4004_82.png,0,0,0,0,0,0,0,0,0,0,,0,0
PAT_2011_4140_787.png,2,2,3,2,2,1,1,1,1,1,,2.2,1
PAT_2043_4308_681.png,0,0,0,0,0,1,1,1,1,1,,0,1
PAT_2046_4323_394.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_2071_4433_848.png,3,3,3,3,3,0,0,0,0,0,,3,0
PAT_2077_4463_77.png,0,0,0,0,0,1,1,1,1,1,,0,1
PAT_2115_4613_260.png,2,2,2,2,1,1,1,1,1,1,,1.8,1
PAT_2125_4653_497.png,2,2,2,2,2,0,0,0,0,0,,2,0
,,,,,,,,,,,TOTAL AVERAGES:,1.03,0.25
